ID,Phase,Priority,Capability,Type,Title,Description,CurrentEvidence,FilesAffected,Dependencies,SecurityImpact,DataImpact,AcceptanceCriteria,TestsRequired,EstimatedComplexity,RecommendedOrder
STL-P0-001,Fase 0,P0,AI security,Security,Marcar todo texto de usuario como dato,"Aplicar markAsData (o equivalente con delimitadores) a narrative, titulos de outcomes/indicadores/evidencia antes de enviarlos al modelo. Hoy markAsData existe pero nunca se usa.","lib/stella/context/sanitize.ts:67; grep sin usos","lib/stella/context/sanitize.ts; lib/stella/context/build-advisor-context.ts; build-composer-context.ts; build-validator-context.ts",none,Alto,Medio,"Todo texto de usuario llega al modelo envuelto como dato; un contexto con 'ignora tus instrucciones' no altera el comportamiento","Unitaria de sanitizacion; caso de inyeccion",Baja,1
STL-P0-002,Fase 0,P0,Sanitization,Security,Ampliar sanitizacion y suite de inyeccion,"Ampliar/estructurar la blocklist, cubrir patrones de instruccion, y crear pruebas de prompt-injection.","lib/stella/context/sanitize.ts:4-14","lib/stella/context/sanitize.ts; tests/","STL-P0-001",Alto,Bajo,"Un conjunto de payloads de inyeccion conocidos se neutraliza y una prueba lo verifica","Suite de inyeccion",Media,2
STL-P0-003,Fase 0,P0,Audit logs,Database,Test de aislamiento RLS de stella_interactions,"Anadir caso de integracion que verifique que org B no lee filas de org A y que UPDATE/DELETE fallan.","db/policies/002_stella_interactions_rls.sql; ausencia en tests/integration/rls.test.ts","tests/integration/rls.test.ts",none,Alto,Medio,"El test confirma aislamiento de SELECT y negacion de UPDATE/DELETE","Integracion RLS",Baja,3
STL-P0-004,Fase 0,P0,Prompt evaluation,Test,Arnes de evaluacion de calidad de IA,"Suite de eval con casos dorados y rubrica por rol, ejecutable contra el modelo real fuera del CI normal con cuota propia. Requisito para encender cualquier flag.","lib/stella/__tests__/anti-regression.test.ts:193","tests/eval/; package.json (script)",none,Medio,Alto,"Comando de eval con >=10 casos por rol y rubrica aprobado/reprobado; documentado como gate de activacion","La propia suite de eval",Media,4
STL-P0-005,Fase 0,P0,AI security,Security,Gate de deteccion de PII antes de enviar,"Detectar y bloquear/anonimizar PII (incluida de menores/salud) en el contexto antes de enviarlo a Gemini.","lib/stella/context/sanitize.ts (no clasifica PII)","lib/stella/context/*","STL-P0-001",Alto,Alto,"PII detectada se bloquea o anonimiza antes de salir; prueba con datos sinteticos","Unitaria de deteccion de PII",Media,5
STL-P0-006,Fase 0,P0,AI security,Documentation,DPA y consentimiento por organizacion,"Documentar el DPA con Google, el inventario exacto de campos enviados por rol, y registrar consentimiento por organizacion.","app/actions/stella/advisor.ts:106","docs/; lib/stella/","STL-P0-005",Alto,Alto,"Documento que enumera que se envia por rol; consentimiento registrado por org antes de habilitar Stella","Revision documental",Media,6
STL-P0-007,Fase 0,P0,Audit logs,Database,Persistir payload enviado y version de prompt,"Migracion aditiva para guardar (o referenciar) el user-message enviado y la version del prompt en stella_interactions, coherente con el gate de PII.","db/migrations/0012_stella_interactions.sql; advisor.ts:119-129","db/migrations/; db/schema.ts; app/actions/stella/*","STL-P0-006",Medio,Alto,"Dada una fila, se reconstruye el input y se sabe que prompt/version se uso","Unitaria + integracion de persistencia",Media,7
STL-P0-008,Fase 0,P0,Audit logs,Database,Corregir DEFAULT de modelo retirado,"Migracion aditiva para cambiar el DEFAULT de model_used (gemini-2.0-flash retirado) a un valor vigente o quitar el default.","db/migrations/0012_stella_interactions.sql:10; config.ts:10-11","db/migrations/; db/schema.ts",none,Bajo,Bajo,"El DEFAULT ya no referencia un modelo retirado; drizzle-kit check sin drift","drizzle-kit check",Baja,8
STL-P0-009,Fase 0,P0,Audit logs,Documentation,Corregir imprecision de RLS 002 y README,"Corregir el comentario que dice 'service-role client' cuando los inserts usan DATABASE_URL (postgres, bypass RLS).","db/policies/002_stella_interactions_rls.sql:17-19","db/policies/002_stella_interactions_rls.sql; docs/",none,Bajo,Bajo,"La documentacion refleja el mecanismo real de insercion","Revision documental",Baja,9
STL-P1-001,Fase 1,P1,Guide,Functional,Prompts de Advisor por paso,"Reemplazar el prompt generico por prompts especificos de cada uno de los 8 pasos.","advisor-system.ts:7-39","lib/stella/prompts/advisor-system.ts","STL-P0-002;STL-P0-004",Bajo,Bajo,"Cada paso tiene su prompt; el eval muestra mejora vs generico","Unitaria de prompt; eval",Media,10
STL-P1-002,Fase 1,P1,Guide,Functional,User-message del Advisor con contexto real,"El mensaje de usuario usa el contexto completo (outcomes/indicadores/evidencia/proxies), no substring(0,500).","advisor-system.ts:41-59","lib/stella/prompts/advisor-system.ts","STL-P1-001",Bajo,Medio,"El user-message incluye los datos reales relevantes del paso","Unitaria de contexto->prompt",Media,11
STL-P1-003,Fase 1,P1,Report Composer,Functional,Prompts del Composer por seccion,"Prompts especificos por seccion (factual vs narrativa) en lugar del generico por sectionType.","composer-system.ts:7-55","lib/stella/prompts/composer-system.ts","STL-P0-004",Bajo,Bajo,"Cada seccion tiene su tratamiento; eval verde","Unitaria; eval",Media,12
STL-P1-004,Fase 1,P1,Report Composer,Functional,Composer anclado a cifras del motor,"Las secciones factuales prellenan cifras desde el snapshot de la corrida; Stella solo redacta prosa conectora.","composer-system.ts:64-66; build-composer-context.ts","lib/stella/prompts/composer-system.ts; app/actions/stella/composer.ts; lib/reports/","STL-P1-003",Medio,Medio,"Las cifras de una seccion provienen del snapshot, no del texto del modelo","Unitaria; integracion",Media,13
STL-P1-005,Fase 1,P1,Report Composer,Security,Guard numerico del borrador,"Validar que draft_content no introduce numeros ausentes del contexto provisto.","composer-output.ts:15","lib/stella/schemas/composer-output.ts; app/actions/stella/composer.ts","STL-P1-004",Medio,Medio,"Un borrador con un numero no presente en el contexto se marca/rechaza","Unitaria de guard numerico",Media,14
STL-P1-006,Fase 1,P1,Suggestions,Technical,Esquemas Zod de sugerencia y reformulacion,"Nuevos esquemas de salida para modo reformulate (texto propuesto) y suggest (lista de candidatos con justificacion).","lib/stella/schemas/ (solo 4 esquemas)","lib/stella/schemas/","STL-P0-002",Bajo,Bajo,"Existen esquemas validados para reformulate y suggest; una salida invalida se rechaza","Unitaria de esquema",Baja,15
STL-P1-007,Fase 1,P1,Structurer,Functional,Accion de reformulacion (pasos 1-6),"Server action que reformula el texto del usuario sin cambiar su sentido, devolviendo la propuesta sin guardar.","no existe modo reformulate","app/actions/stella/; lib/stella/prompts/; lib/stella/context/","STL-P1-006",Medio,Medio,"El usuario pide reformular; recibe una propuesta que edita y guarda explicitamente","Unitaria de accion; componente",Media,16
STL-P1-008,Fase 1,P1,Drafter,Functional,Accion de sugerir candidatos (pasos 1-4),"Server action que sugiere outcomes/indicadores/nodos/supuestos como candidatos, nunca persistidos solos.","Advisor solo asesora","app/actions/stella/; lib/stella/prompts/; lib/stella/schemas/","STL-P1-006",Alto,Medio,"En pasos 1-4 el usuario ve sugerencias; ninguna se guarda sin accion explicita","Unitaria; integracion",Alta,17
STL-P1-009,Fase 1,P1,Provenance,Database,Procedencia al aceptar sugerencia o guardar borrador,"Registrar en audit_logs (y/o marca de fila) que un outcome/indicador/seccion se origino de Stella y que interaccion lo produjo.","seccion 10 del audit; tablas de pipeline sin campo de procedencia","lib/audit/; app/actions/*; lib/stella/","STL-P0-007;STL-P1-008",Medio,Alto,"Una fila creada desde Stella permite saber que fue sugerida y por que interaccion","Integracion de procedencia",Media,18
STL-P1-010,Fase 1,P1,Suggestions,UI,Panel de aceptar/editar/descartar,"UI que muestra candidatos y permite aceptar/editar/descartar item a item, evitando aceptacion masiva.","no existe UI de sugerencias","components/stella/","STL-P1-008",Medio,Bajo,"El usuario acepta candidatos item a item; sin boton de aceptar todo sin revisar","Componente",Media,19
STL-P1-011,Fase 1,P1,Structurer,UI,Diff original vs reformulado,"UI que muestra el texto original y la reformulacion propuesta antes de guardar.","no existe","components/stella/","STL-P1-007",Bajo,Bajo,"El usuario compara original y propuesta antes de aceptar","Componente",Baja,20
STL-P1-012,Fase 1,P1,Provenance,Test,Pruebas de reformular/sugerir/procedencia,"Integracion: aceptar una sugerencia crea la fila con procedencia; nada se guarda sin accion.","-","tests/","STL-P1-009;STL-P1-010;STL-P1-011",Medio,Medio,"Los tests cubren aceptar, descartar y la marca de procedencia","Integracion",Media,21
STL-P1-013,Fase 1,P1,Guide,Documentation,Habilitar Advisor y Composer en preview tras eval,"Procedimiento para activar STELLA_ADVISOR/COMPOSER_ENABLED en preview solo despues de una pasada verde del eval.","config.ts:15-22","docs/; configuracion de entorno","STL-P0-004;STL-P1-002;STL-P1-005;STL-P1-012",Medio,Medio,"Advisor y Composer encendidos en preview con evidencia de eval verde; no en produccion sin go/no-go","Recorrido manual en preview",Baja,22
STL-P2-001,Fase 2,P2,Evidence Intelligence,Technical,Extraccion de texto documental,"Pipeline server-side para extraer texto de PDF/DOCX/TXT de la evidencia subida, tratando el contenido como dato.","build-advisor-context.ts:156-172 (solo metadatos)","lib/pipeline/evidence.ts; lib/stella/","STL-P0-005",Alto,Alto,"De un archivo subido se extrae texto; el contenido nunca se interpreta como instruccion","Unitaria de extraccion",Alta,23
STL-P2-002,Fase 2,P2,Evidence Intelligence,Security,Aislamiento de contenido de documento,"Garantizar que el texto extraido de documentos no puede actuar como instruccion (vector de inyeccion nuevo).","-","lib/stella/context/; lib/stella/prompts/","STL-P2-001",Alto,Alto,"Un documento con instrucciones incrustadas no altera el comportamiento de Stella","Suite de inyeccion documental",Media,24
STL-P2-003,Fase 2,P2,Evidence Intelligence,Database,Chunking y embeddings con pgvector,"Migracion para pgvector y tablas de chunks/embeddings; generar embeddings del texto extraido.","grep sin pgvector/embedding","db/migrations/; db/schema.ts; lib/stella/","STL-P2-001",Medio,Alto,"El texto se divide en chunks con embeddings almacenados; drizzle-kit check sin drift","Unitaria; integracion",Alta,25
STL-P2-004,Fase 2,P2,Evidence Intelligence,Technical,Recuperacion semantica,"Recuperacion por similitud sobre los embeddings de evidencia del proyecto.","-","lib/stella/","STL-P2-003",Medio,Medio,"Una consulta recupera los fragmentos de evidencia mas relevantes del proyecto","Unitaria de recuperacion",Media,26
