"ID","Fase","Módulo","Tarea","Descripción","Prioridad","Estado actual","Complejidad","Dependencias","Estimación","Perfil responsable","Criterios de aceptación","Pruebas requeridas","Riesgo","Paralelizable","Archivos o áreas afectadas"
"F0-01","Fase 0","Plataforma","Actualizar Next.js y PostCSS a versiones parcheadas","pnpm audit --prod reporta 4 CVE altas en next 16.2.9 (bypass de middleware/proxy en App Router; SSRF en Server Actions; SSRF en rewrites; DoS) y 1 alta en postcss. El override de package.json fija postcss en 8.5.10, por debajo del parche 8.5.12.","P0","Roto","Baja","Ninguna","0.5 d","DevOps","pnpm audit --prod sin severidad alta ni crítica; pnpm build verde; 1027 pruebas unitarias verdes; recorrido dorado manual sin regresión","test:unit; build; typecheck; recorrido manual del camino dorado","Medio: salto de parche 16.2.9 a 16.2.11 con baja probabilidad de romper API","Sí","package.json; pnpm-lock.yaml"
"F0-02","Fase 0","Onboarding","Corregir la redirección posterior al onboarding de organización","OnboardingCheck.tsx línea 14 hace router.push('/app'), que no es una ruta existente. Reproducido: completar el onboarting muestra un 404 en inglés pese a que los datos sí se guardan.","P0","Roto","Baja","Ninguna","0.25 d","Frontend","Completar el onboarding lleva a /app/dashboard; ninguna ruta de la aplicación redirige a un destino inexistente","Prueba unitaria del componente; recorrido manual con usuario nuevo","Bajo","Sí","components/auth/OnboardingCheck.tsx"
"F0-03","Fase 0","Onboarding","Desbloquear a los miembros no administradores en organizaciones sin onboarding","Un analista/revisor/visor queda atrapado: toda ruta /app/* redirige a /app/organization/onboarding, donde el envío falla con el texto en inglés 'Only organization admins can complete onboarding' y sin salida.","P0","Roto","Media","F0-02","0.75 d","Full-stack","Un miembro no administrador ve una pantalla de espera en español que nombra a su administrador y ofrece contacto; puede cerrar sesión; el formulario no se muestra a quien no puede enviarlo","Prueba unitaria de permisos; recorrido manual con los 4 roles no administradores","Bajo","Sí","app/app/organization/onboarding/page.tsx; app/actions/onboarding.ts; components/auth/OnboardingCheck.tsx"
"F0-04","Fase 0","Base de datos","Reparar db:migrate:local y crear un orquestador único de migraciones","drizzle-kit migrate sale con código 1 sin ningún mensaje y deja 34 de 41 migraciones aplicadas. Además existe acoplamiento de orden no coordinado entre db/migrations, supabase/migrations y db/policies: 0039 depende de storage_policies y 008 depende de 0031.","P0","Roto","Alta","Ninguna","2 d","DevOps + Full-stack","pnpm db:setup:local funciona desde una base vacía en un solo comando; las 41 migraciones quedan registradas; drizzle-kit check sin drift; cualquier fallo emite un mensaje accionable","Script de bootstrap sobre base limpia en CI; drizzle-kit check; test:integration","Alto: la causa raíz puede ser incompatibilidad de drizzle-kit con Node 24; plan B es fijar Node 22 vía .nvmrc y engines","No: bloquea la Fase 2","package.json; drizzle.local.config.ts; scripts/; .nvmrc; supabase/migrations/; db/policies/"
"F0-05","Fase 0","Operación","Añadir guarda de host a los scripts de seed y a las pruebas de integración","seed-proxies.ts, seed-taxonomies.ts y vitest.setup.integration.ts resuelven la conexión desde .env/.env.local, que apunta a producción, y no tienen guarda de host (a diferencia de seed-local.ts, que sí la tiene). Riesgo demostrado durante la auditoría.","P0","Roto","Baja","Ninguna","0.5 d","DevOps","Todo script de seed y toda prueba de integración aborta con mensaje explícito si el host no es 127.0.0.1, localhost o ::1, salvo un flag deliberado; el afterAll de las pruebas limpia organizaciones, proyectos y objetos de Storage","Prueba que verifique el aborto ante un host remoto; ejecución local completa","Bajo","Sí","scripts/seed-proxies.ts; scripts/seed-taxonomies.ts; vitest.setup.integration.ts; tests/integration/rls.test.ts"
"F0-06","Fase 0","Operación","Eliminar el script de un solo uso con UUIDs de producción y limpiar datos huérfanos","scripts/complete-agua-san-bernardo.ts contiene UUIDs de producción codificados, importa db/client (produccion) y no está referenciado por ningún script de package.json. Las pruebas de integración han dejado organizaciones huérfanas acumuladas.","P0","Roto","Baja","F0-05","0.5 d","DevOps","El script queda eliminado del repositorio; se documenta un procedimiento de limpieza de datos de prueba; se verifica por inventario que no queden huérfanos en preview","Inventario SQL de organizaciones antes y después","Bajo. Debe confirmarse con el equipo que el script ya no se necesita antes de borrarlo","Sí","scripts/complete-agua-san-bernardo.ts"
"F0-07","Fase 0","CI/CD","Añadir auditoría de dependencias como paso bloqueante en CI","El workflow ci.yml ejecuta lint, typecheck, test:unit y build, pero nunca audita dependencias. Por eso SEC-01 pasó inadvertido pese a existir un documento de readiness que afirmaba lo contrario.","P0","No implementado","Baja","F0-01","0.5 d","DevOps","CI falla ante cualquier vulnerabilidad de severidad alta o crítica en dependencias de producción; existe un mecanismo documentado de excepción temporal con fecha de caducidad","Ejecución del workflow en un PR de prueba","Bajo","Sí",".github/workflows/ci.yml"
"F1-01","Fase 1","Evidencia","Implementar descarga y previsualización de archivos de evidencia","No existe ninguna forma de abrir un archivo de evidencia desde la interfaz. La única llamada a storage.download está dentro de verifyEvidenceIntegrity. Un revisor debe aprobar archivos que no puede ver, lo que rompe el ciclo evidencia-revisión-aprobación que sostiene la propuesta de valor.","P1","No implementado","Media","F0-02","2 d","Full-stack senior","Todo miembro con permiso de lectura obtiene una URL firmada de vigencia corta; los PDF e imágenes se previsualizan en línea; cada descarga queda registrada en audit_logs; un miembro de otra organización recibe 404","Prueba unitaria del servicio; prueba de integración de aislamiento cruzado; recorrido manual","Bajo","Sí","lib/pipeline/evidence.ts; app/app/projects/[projectId]/pipeline/evidence/"
"F1-02","Fase 1","Reportes","Añadir compuerta de completitud antes de bloquear un reporte","Verificado: un reporte con las 12 secciones vacías puede bloquearse y publicarse como 'Reporte Audit-Ready Verificado'. No existe ninguna validación de contenido en lockReportDraft.","P1","No implementado","Media","Ninguna","2 d","Full-stack senior + Producto","El bloqueo se rechaza si alguna sección obligatoria de la variante está vacía; la interfaz muestra qué secciones faltan con enlace directo; las secciones obligatorias por variante quedan documentadas","Prueba unitaria por variante; prueba de integración del bloqueo; recorrido manual","Medio: hay que decidir con Producto qué secciones son obligatorias en cada variante","Sí","lib/pipeline/sroi-results.ts; lib/reports/report-variants.ts; app/app/projects/[projectId]/report/"
"F1-03","Fase 1","Reportes","Convertir la publicación pública en una decisión explícita y revocable","lockReportDraft asigna verification_hash incondicionalmente, por lo que bloquear equivale a publicar en internet el nombre de la organización, del proyecto y sus cifras financieras. No hay control de publicación, revocación ni expiración, y el PDF se sirve con Cache-Control public max-age=3600.","P1","Roto","Media","F1-02","2 d","Full-stack senior","Bloquear y publicar son acciones separadas; publicar exige confirmación que enumera qué queda expuesto; existe revocación que invalida el hash; existe expiración opcional; el PDF revocado devuelve 404 sin quedar en caché","Prueba unitaria; prueba de integración de acceso público antes y después de revocar; verificación de cabeceras de caché","Medio: hay reportes ya publicados cuyo estado debe migrarse con criterio explícito","Sí","lib/pipeline/sroi-results.ts; lib/reports/public-verify.ts; app/(public)/verify/"
