# DATOS SINTÉTICOS — EXCLUSIVAMENTE PARA AUDITORÍA FUNCIONAL DE UELLIX
hogar_id,sector,personas,horas_semana_agua,gasto_mensual_cop,bienestar_pct,fecha_medicion
HOG-001,Norte,5,4.2,95361,28,2025-01-15
HOG-002,Playa,2,5.4,93840,34,2025-01-15
HOG-003,Norte,6,4.6,88847,38,2025-01-15
HOG-004,Norte,3,4.5,90770,41,2025-01-15
HOG-005,Sur,5,5.3,95244,36,2025-01-15
HOG-006,Playa,5,4.6,94762,29,2025-01-15
HOG-007,Centro,5,4.1,90804,36,2025-01-15
HOG-008,Sur,4,4.2,90707,38,2025-01-15
HOG-009,Sur,2,4.6,90582,31,2025-01-15
HOG-010,Centro,4,4.9,97210,30,2025-01-15
HOG-011,Sur,3,4.0,89274,41,2025-01-15
HOG-012,Centro,6,5.0,98223,31,2025-01-15
HOG-013,Sur,7,5.2,92530,41,2025-01-15
HOG-014,Sur,3,4.8,89981,40,2025-01-15
HOG-015,Centro,7,4.1,96165,41,2025-01-15
HOG-016,Centro,6,5.0,88087,25,2025-01-15
HOG-017,Sur,4,4.1,98019,32,2025-01-15
HOG-018,Playa,2,5.1,90149,34,2025-01-15
HOG-019,Norte,5,4.1,97625,33,2025-01-15
HOG-020,Sur,5,5.1,99626,31,2025-01-15
HOG-021,Sur,2,5.2,93044,26,2025-01-15
HOG-022,Sur,4,4.8,101333,38,2025-01-15
HOG-023,Centro,7,3.9,92110,30,2025-01-15
HOG-024,Norte,2,4.6,94594,35,2025-01-15
HOG-025,Norte,2,5.1,93703,30,2025-01-15
HOG-026,Sur,7,4.0,88376,27,2025-01-15
HOG-027,Centro,2,5.3,100984,29,2025-01-15
HOG-028,Playa,7,5.3,95203,40,2025-01-15
HOG-029,Norte,7,5.1,95841,30,2025-01-15
HOG-030,Centro,3,4.7,94877,27,2025-01-15
HOG-031,Playa,2,4.4,93504,37,2025-01-15
HOG-032,Playa,5,4.2,97767,36,2025-01-15
HOG-033,Norte,7,5.0,97113,26,2025-01-15
HOG-034,Sur,6,4.7,93922,37,2025-01-15
HOG-035,Norte,2,4.1,90052,40,2025-01-15
HOG-036,Playa,5,4.6,88460,29,2025-01-15
HOG-037,Centro,3,4.6,92771,34,2025-01-15
HOG-038,Centro,6,4.0,99410,38,2025-01-15
HOG-039,Sur,3,4.1,92928,29,2025-01-15
HOG-040,Sur,7,5.1,101985,25,2025-01-15
HOG-041,Sur,7,4.8,101974,37,2025-01-15
HOG-042,Norte,5,4.9,89817,33,2025-01-15
HOG-043,Norte,7,4.4,101073,37,2025-01-15
HOG-044,Centro,5,4.1,100386,34,2025-01-15
HOG-045,Sur,4,4.0,92834,30,2025-01-15
HOG-046,Centro,6,4.7,88603,34,2025-01-15
HOG-047,Centro,2,3.9,93627,34,2025-01-15
HOG-048,Sur,2,4.1,91356,35,2025-01-15
HOG-049,Sur,2,4.6,98439,38,2025-01-15
HOG-050,Norte,5,4.7,93603,34,2025-01-15
HOG-051,Norte,2,4.1,88521,39,2025-01-15
HOG-052,Sur,7,4.7,97148,29,2025-01-15
HOG-053,Sur,2,4.4,101155,40,2025-01-15
HOG-054,Norte,5,5.3,99812,38,2025-01-15
HOG-055,Norte,2,4.6,99977,27,2025-01-15
HOG-056,Centro,4,4.5,96503,37,2025-01-15
HOG-057,Sur,2,4.4,100842,41,2025-01-15
HOG-058,Playa,6,4.6,88940,24,2025-01-15
HOG-059,Norte,3,4.4,90125,37,2025-01-15
HOG-060,Centro,7,5.1,88141,37,2025-01-15
HOG-061,Norte,7,4.9,99332,41,2025-01-15
HOG-062,Sur,3,4.8,96600,24,2025-01-15
HOG-063,Sur,2,3.9,90113,28,2025-01-15
HOG-064,Sur,3,4.7,92417,32,2025-01-15
HOG-065,Sur,6,4.3,88802,27,2025-01-15
HOG-066,Norte,2,4.9,91668,32,2025-01-15
HOG-067,Sur,4,4.9,93478,39,2025-01-15
HOG-068,Centro,4,4.7,89618,36,2025-01-15
HOG-069,Centro,5,5.4,101946,33,2025-01-15
HOG-070,Playa,7,4.5,89274,29,2025-01-15
HOG-071,Centro,6,4.2,89486,35,2025-01-15
HOG-072,Sur,3,4.8,88804,25,2025-01-15
HOG-073,Sur,7,4.7,101574,25,2025-01-15
HOG-074,Sur,3,5.2,95635,35,2025-01-15
HOG-075,Playa,7,4.3,97095,41,2025-01-15
HOG-076,Sur,4,4.2,91291,25,2025-01-15
HOG-077,Centro,3,4.5,89410,25,2025-01-15
HOG-078,Norte,5,4.9,97617,38,2025-01-15
HOG-079,Sur,3,4.1,90626,36,2025-01-15
HOG-080,Norte,3,5.3,101760,24,2025-01-15
HOG-081,Playa,6,5.1,90781,38,2025-01-15
HOG-082,Sur,2,4.2,96433,40,2025-01-15
HOG-083,Centro,4,4.3,96698,31,2025-01-15
HOG-084,Centro,4,4.4,88625,40,2025-01-15
HOG-085,Centro,4,4.4,89091,35,2025-01-15
HOG-086,Playa,3,4.1,90566,35,2025-01-15
HOG-087,Centro,6,3.9,98586,32,2025-01-15
HOG-088,Centro,3,5.1,97885,37,2025-01-15
HOG-089,Playa,7,4.5,92161,24,2025-01-15
HOG-090,Norte,7,5.0,101619,25,2025-01-15
HOG-091,Sur,4,4.8,95296,32,2025-01-15
HOG-092,Centro,2,4.7,98025,24,2025-01-15
HOG-093,Centro,6,4.5,92826,31,2025-01-15
HOG-094,Playa,4,4.4,89629,32,2025-01-15
HOG-095,Norte,5,5.2,93574,38,2025-01-15
HOG-096,Playa,4,3.9,100768,39,2025-01-15
HOG-097,Playa,4,5.2,91742,33,2025-01-15
HOG-098,Playa,6,4.4,96908,39,2025-01-15
HOG-099,Playa,4,4.7,89163,38,2025-01-15
HOG-100,Centro,5,4.7,96302,38,2025-01-15
HOG-101,Centro,2,5.3,96005,28,2025-01-15
HOG-102,Sur,6,4.7,97067,40,2025-01-15
HOG-103,Norte,4,4.8,95815,38,2025-01-15
HOG-104,Norte,4,5.4,100189,38,2025-01-15
HOG-105,Centro,7,4.4,101985,36,2025-01-15
HOG-106,Centro,5,4.7,101612,35,2025-01-15
HOG-107,Centro,6,4.3,93595,39,2025-01-15
HOG-108,Sur,5,3.9,99333,26,2025-01-15
HOG-109,Norte,2,4.5,95746,29,2025-01-15
HOG-110,Sur,4,4.5,89754,25,2025-01-15
HOG-111,Norte,4,4.7,93496,41,2025-01-15
HOG-112,Playa,4,4.4,89637,37,2025-01-15
HOG-113,Norte,6,4.0,100854,25,2025-01-15
HOG-114,Playa,5,4.4,101957,37,2025-01-15
HOG-115,Norte,7,4.3,91263,39,2025-01-15
HOG-116,Norte,4,5.0,89900,33,2025-01-15
HOG-117,Centro,5,4.7,101354,35,2025-01-15
HOG-118,Norte,3,4.4,94204,39,2025-01-15
HOG-119,Norte,2,4.2,100501,39,2025-01-15
HOG-120,Playa,6,4.1,94120,35,2025-01-15
