# DATOS SINTÉTICOS — EXCLUSIVAMENTE PARA AUDITORÍA FUNCIONAL DE UELLIX
hogar_id,sector,personas,horas_semana_agua,gasto_mensual_cop,bienestar_pct,fecha_medicion
HOG-001,Playa,6,1.5,46777,80,2025-12-10
HOG-002,Playa,3,1.4,43139,82,2025-12-10
HOG-003,Sur,2,1.4,42661,76,2025-12-10
HOG-004,Norte,7,1.5,41263,70,2025-12-10
HOG-005,Playa,6,1.1,40689,85,2025-12-10
HOG-006,Sur,6,1.2,44294,71,2025-12-10
HOG-007,Centro,5,1.4,44589,85,2025-12-10
HOG-008,Norte,5,1.0,40415,74,2025-12-10
HOG-009,Norte,4,1.4,46120,77,2025-12-10
HOG-010,Sur,2,1.1,41137,70,2025-12-10
HOG-011,Sur,6,1.1,38702,70,2025-12-10
HOG-012,Centro,5,1.3,37742,70,2025-12-10
HOG-013,Sur,2,1.2,39336,77,2025-12-10
HOG-014,Playa,7,1.3,38069,78,2025-12-10
HOG-015,Norte,6,1.1,42688,80,2025-12-10
HOG-016,Norte,6,0.9,45645,74,2025-12-10
HOG-017,Norte,4,1.0,45341,75,2025-12-10
HOG-018,Norte,5,1.5,37778,86,2025-12-10
HOG-019,Norte,2,1.1,39485,81,2025-12-10
HOG-020,Playa,7,1.4,40144,71,2025-12-10
HOG-021,Playa,5,1.3,44979,81,2025-12-10
HOG-022,Playa,4,1.3,37988,85,2025-12-10
HOG-023,Playa,5,1.5,39042,75,2025-12-10
HOG-024,Centro,3,1.4,42227,72,2025-12-10
HOG-025,Centro,3,1.3,45732,71,2025-12-10
HOG-026,Centro,7,1.3,42541,72,2025-12-10
HOG-027,Centro,5,1.2,43850,81,2025-12-10
HOG-028,Sur,4,1.5,43831,86,2025-12-10
HOG-029,Norte,3,1.4,37423,85,2025-12-10
HOG-030,Norte,7,1.5,39486,85,2025-12-10
HOG-031,Norte,5,1.0,40456,70,2025-12-10
HOG-032,Norte,2,1.2,45585,84,2025-12-10
HOG-033,Centro,7,1.1,40736,76,2025-12-10
HOG-034,Sur,4,1.1,38277,82,2025-12-10
HOG-035,Playa,5,1.4,44919,70,2025-12-10
HOG-036,Playa,4,0.9,41128,84,2025-12-10
HOG-037,Norte,3,1.2,46925,82,2025-12-10
HOG-038,Playa,4,1.2,46965,81,2025-12-10
HOG-039,Playa,6,1.2,44347,72,2025-12-10
HOG-040,Norte,5,1.4,37624,79,2025-12-10
HOG-041,Sur,3,1.1,43575,76,2025-12-10
HOG-042,Sur,6,1.5,38098,81,2025-12-10
HOG-043,Playa,2,1.5,46352,80,2025-12-10
HOG-044,Norte,2,1.3,38805,82,2025-12-10
HOG-045,Sur,3,1.4,43846,86,2025-12-10
HOG-046,Norte,2,1.2,40835,76,2025-12-10
HOG-047,Playa,4,1.1,39596,77,2025-12-10
HOG-048,Norte,2,1.0,42641,86,2025-12-10
HOG-049,Centro,6,1.2,44038,73,2025-12-10
HOG-050,Playa,5,0.9,46007,75,2025-12-10
HOG-051,Norte,7,1.1,43801,77,2025-12-10
HOG-052,Norte,3,1.2,39761,81,2025-12-10
HOG-053,Playa,2,1.1,37604,72,2025-12-10
HOG-054,Sur,7,1.2,39318,71,2025-12-10
HOG-055,Norte,4,1.3,37819,86,2025-12-10
HOG-056,Sur,4,1.3,45702,83,2025-12-10
HOG-057,Centro,7,1.2,45515,74,2025-12-10
HOG-058,Playa,7,1.1,44410,82,2025-12-10
HOG-059,Playa,3,1.4,44871,73,2025-12-10
HOG-060,Centro,6,1.0,42387,79,2025-12-10
HOG-061,Centro,4,0.9,45193,83,2025-12-10
HOG-062,Norte,2,1.2,40134,76,2025-12-10
HOG-063,Playa,3,1.4,45180,75,2025-12-10
HOG-064,Norte,3,1.3,40240,73,2025-12-10
HOG-065,Norte,4,1.5,45046,77,2025-12-10
HOG-066,Centro,7,0.9,42534,73,2025-12-10
HOG-067,Norte,2,1.3,38547,72,2025-12-10
HOG-068,Playa,6,1.3,44643,70,2025-12-10
HOG-069,Centro,2,1.0,39588,72,2025-12-10
HOG-070,Playa,6,1.5,41706,74,2025-12-10
HOG-071,Norte,4,1.3,43166,71,2025-12-10
HOG-072,Norte,2,1.4,41777,84,2025-12-10
HOG-073,Centro,6,1.1,43084,70,2025-12-10
HOG-074,Norte,3,0.9,40770,86,2025-12-10
HOG-075,Centro,3,0.9,46627,78,2025-12-10
HOG-076,Sur,6,0.9,38953,80,2025-12-10
HOG-077,Norte,4,1.2,37492,75,2025-12-10
HOG-078,Playa,7,1.3,41099,78,2025-12-10
HOG-079,Sur,4,0.9,37564,82,2025-12-10
HOG-080,Playa,6,1.1,37833,85,2025-12-10
HOG-081,Norte,6,1.6,45110,83,2025-12-10
HOG-082,Centro,3,1.3,45477,81,2025-12-10
HOG-083,Centro,3,1.3,37225,84,2025-12-10
HOG-084,Centro,2,1.1,45892,71,2025-12-10
HOG-085,Playa,2,1.5,42565,80,2025-12-10
HOG-086,Norte,4,1.3,38085,75,2025-12-10
HOG-087,Playa,3,1.4,41254,73,2025-12-10
HOG-088,Playa,5,1.0,42599,71,2025-12-10
HOG-089,Centro,4,1.0,40238,72,2025-12-10
HOG-090,Sur,2,0.9,38454,81,2025-12-10
HOG-091,Norte,4,1.5,42383,84,2025-12-10
HOG-092,Sur,3,1.4,41270,81,2025-12-10
HOG-093,Playa,6,1.4,43812,83,2025-12-10
HOG-094,Sur,4,1.3,45063,75,2025-12-10
HOG-095,Centro,7,1.4,40230,83,2025-12-10
HOG-096,Playa,5,1.1,46329,76,2025-12-10
